AGY_AGENCY_CODE,AGY_AGENCY_KEY,AGY_AGENCY_NAME
100,1,Senate
101,2,House of Delegates
263,3,Virginia Rehabilitation Center for the Blind and Vision Impaired
268,4,Virginia Institute of Marine Science
750,5,Department of Correctional Education
751,6,Department for the Deaf & Hard-of-Hearing
102,7,Legislative Department Reversion Clearing Account
103,8,Magistrate System
104,9,Judicial Department Reversion Clearing Account
270,10,Virginia Community College System - Utility
274,11,Eastern Virginia Medical School
275,12,New River Community College
105,13,Virginia Commission on Intergovernmental Cooperation
107,14,Division of Legislative Services
108,15,Virginia Code Commission
276,16,Southside Virginia Community College
277,17,Paul D. Camp Community College
278,18,Rappahannock Community College
109,19,Division of Legislative Automated Systems
110,20,Joint Legislative Audit & Review Commission
279,21,Danville Community College
280,22,Northern Virginia Community College
282,23,Piedmont Virginia Community College
283,24,J. Sargeant Reynolds Community College
284,25,Eastern Shore Community College
285,26,Patrick Henry Community College
286,27,Virginia Western Community College
287,28,Dabney S. Lancaster Community College
288,29,Wytheville Community College
290,30,John Tyler Community College
291,31,Blue Ridge Community College
292,32,Central Virginia Community College
293,33,Thomas Nelson Community College
294,34,Southwest Virginia Community College
295,35,Tidewater Community College
296,36,Virginia Highlands Community College
297,37,Germanna Community College
298,38,Lord Fairfax Community College
299,39,Mountain Empire Community College
301,40,Department of Agriculture and Consumer Services
111,41,Supreme Court
112,42,Judicial Inquiry and Review Commission
113,43,Circuit Courts
752,44,Deep Meadow Correctional Center
753,45,Deerfield Correctional Center
754,46,Augusta Correctional Center
307,47,Virginia Agricultural Council
310,48,Virginia Economic Development Partnership
319,49,Chippokes Plantation Farm Foundation
114,50,General District Courts
115,51,Juvenile & Domestic Relations District Courts
116,52,Combined District Courts
117,53,Virginia State Bar
118,54,Virginia Coal & Energy Commission
119,55,Lieutenant Governor
320,56,Virginia Tourism Authority
325,57,Department of Business Assistance
330,58,Virginia-Israel Advisory Board
756,59,Corrections - Division of Institutions
757,60,Western Region Correctional Field Units
121,61,Office of the Governor
122,62,Department of Planning and Budget
123,63,Department of Military Affairs
760,64,Central Region Correctional Field Units
761,65,Baskerville Correctional Center
765,66,Department of Social Services
400,67,Jamestown 2007
402,68,Marine Resources Commission
403,69,Department of Game and Inland Fisheries
125,70,Court of Appeals of Virginia
127,71,Department of Emergency Management
129,72,Department of Human Resource Management
766,73,Virginia Parole Board
767,74,Division of Community Corrections
768,75,Keen Mountain Correctional Center
405,76,Virginia Racing Commission
407,77,Virginia Port Authority
