
"PONUMBER"	"AGENCY"	"ORDEREDDATE"	"VENDORCOMMODITYDESC"	"QUANTITYORDERED"	"PRICE"	"VENDORID"	"VENDORNAME"	"VENDORADDRESS"	"VENDORCITY"	"VENDORSTATE"	"VENDORPOSTALCODE"	"VENDORLOC_EMAILADDRESS"	"NIGPCODE"	"NIGPDESCRIPTION"	"UOMCode"	"UOMDesc"	"VENDORPARTNUMBER"	"MANPARTNUMBER"

"A501_0000200268"	"Virginia Department of Transportation"	"09/23/2002"	"PEN AND PENCIL"	1	33.45	"c9545"	"J. JENKINS SONS COMPANY, INC."	"1801 Whitehead Road"	"Baltimore"	"MD"	"21207"	"jenkins24k@aol.com"	"08015"	"Badges and Emblems, Metal: Cap, Game Wardens', Officers', Service Awards, Uniform, etc."	"EA"	"each"	""	""
"DO36252"	"Central Virginia Training Center"	"09/23/2002"	"SUGAR SUBSTITUTES           3M"	2	12.4025	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39382"	"Syrups and Molasses (Except Fountain)"	"CS"	"case"	"911297"	""
"A501_0000200268"	"Virginia Department of Transportation"	"09/23/2002"	"PLAQUE"	26	18.45	"c9545"	"J. JENKINS SONS COMPANY, INC."	"1801 Whitehead Road"	"Baltimore"	"MD"	"21207"	"jenkins24k@aol.com"	"08015"	"Badges and Emblems, Metal: Cap, Game Wardens', Officers', Service Awards, Uniform, etc."	"EA"	"each"	""	""
"DO37056"	"Sussex Correctional Center I"	"09/26/2002"	"SMD 70761  FILE, EXPANDABLE, 12X10 POCKET, TOP TAB"	2	10.51	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"52505"	"Archival Storage Materials (Acid Free): Document Cases, Envelopes, File Folders, etc."	"EA"	"each"	""	""
"A501_0000200268"	"Virginia Department of Transportation"	"09/23/2002"	"PAPER WEIGHT, SERVICE AWARD"	19	9.25	"c9545"	"J. JENKINS SONS COMPANY, INC."	"1801 Whitehead Road"	"Baltimore"	"MD"	"21207"	"jenkins24k@aol.com"	"08015"	"Badges and Emblems, Metal: Cap, Game Wardens', Officers', Service Awards, Uniform, etc."	"EA"	"each"	""	""
"A501_0000200268"	"Virginia Department of Transportation"	"09/23/2002"	"PEN AND PENCIL"	2	33.45	"c9545"	"J. JENKINS SONS COMPANY, INC."	"1801 Whitehead Road"	"Baltimore"	"MD"	"21207"	"jenkins24k@aol.com"	"08015"	"Badges and Emblems, Metal: Cap, Game Wardens', Officers', Service Awards, Uniform, etc."	"EA"	"each"	""	""
"DO37054"	"Danville Community College"	"09/26/2002"	"Mech. Draftsman's Scale - # 110PXF"	10	2.42	"999999999999"	"Modern School Supply"	"POB 958"	"Harford"	"CT"	"06143"	""	"30530"	"Drafting and Drawing Pencils, Pens, Leads, Lead Holders, etc."	"EA"	"each"	""	""
"DO37069"	"Fluvanna Correctional Center"	"09/26/2002"	"Imaging Drum  ********* "	1	194	"999999999999"	"En-Net Services"	"3 College Avenue, Suite 7"	"Frederick"	"MD"	"21701"	""	"20772"	"Printer Accessories and Supplies: Chemicals, Forms Tractors, Inks and Cartridges, Label Sheets, Sheet Feeders, Toner Cartridges, Wheels, etc."	"EA"	"each"	""	""
"DO37057"	"Library of Virginia"	"09/26/2002"	"AMP-20-018 Ruled Pads, White"	8	1.18	"999999999999"	"CDS"	""	""	""	""	""	"61562"	"Pads and Tablets: Analysis, Columnar, Figure, Memo, Note, Ruled, Post-It Notes, Telephone Message, etc."	"EA"	"each"	""	""
"DO15450"	"Fluvanna Correctional Center"	"04/22/2002"	"Lime 35 acres with 2 tons per acre"	0	22	"999999999999"	"John W. Clayton & Son"	"P.O. Box 167"	"Ivy"	"VA"	"22945"	""	"98836"	"Grounds Maintenance: Mowing, Edging, Plant (Not Tree) Trimming, etc."	"ACR"	"acre"	""	""
"DO15450"	"Fluvanna Correctional Center"	"04/22/2002"	"Fertilize 35 acres with 500 lbs of 10-10-10 per acre"	0	33	"999999999999"	"John W. Clayton & Son"	"P.O. Box 167"	"Ivy"	"VA"	"22945"	""	"98836"	"Grounds Maintenance: Mowing, Edging, Plant (Not Tree) Trimming, etc."	"ACR"	"acre"	""	""
"A501_0000200760"	"Virginia Department of Transportation"	"09/26/2002"	"EQUIPMENT/MAINTENANCE CLASSIFI"	240	15.46	"c9568"	"ABACUS CORPORATION"	"3114 WEST MARSHALL STREET, SUITE A"	"RICHMOND"	"VA"	"23230"	"MPBRADY@ABACUSCORPORATION.COM"	"96162"	"Personnel Services (Not Employment)"	"HUR"	"hour"	""	""
"A501_0000200760"	"Virginia Department of Transportation"	"09/26/2002"	"EQUIPMENT/MAINTENANCE CLASSIFI"	160	14.27	"c9568"	"ABACUS CORPORATION"	"3114 WEST MARSHALL STREET, SUITE A"	"RICHMOND"	"VA"	"23230"	"MPBRADY@ABACUSCORPORATION.COM"	"96162"	"Personnel Services (Not Employment)"	"HUR"	"hour"	""	""
"PCO6253"	"Danville Community College"	"09/26/2002"	"Top Tab File Pockets, 1200 PPR Cap, 11-3/4inWx9-1/2inDx5-1/4inH"	200	1.23	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"52505"	"Archival Storage Materials (Acid Free): Document Cases, Envelopes, File Folders, etc."	"EA"	"each"	"SMD73234"	"SMD73234"
"PCO6253"	"Danville Community College"	"09/26/2002"	"PEN,BESTRETRACT,REDFINE"	50	5.9	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"61500"	"OFFICE SUPPLIES, GENERAL"	"EA"	"each"	"VIBVIB1224"	"VIBVIB1224"
"DO60922"	"Brunswick Correctional Center"	"02/06/2003"	"CINNAMON, GROUND            1#"	12	2.63410799999999989395860211516264826059	"086711962"	"DEPARTMENT OF GENERAL SERVICES"	"2400 Riley Ridge Rd"	"Sandston"	"VA"	"23150"	"jjanisko@dgs.state.va.us"	"39380"	"Spices and Seasonings (To Include Seasoned Salt and Pepper)"	"LBR"	"pound"	"912046"	""
"DO36734"	"Department of Corrections"	"09/25/2002"	"SALT IND PACK IODIZED       6M"	2	7.3851	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39373"	"Salt, Table"	"CS"	"case"	"911286"	""
"DO37132"	"Department of Corrections"	"09/26/2002"	"Syva RapidTest 6A179UL, d.a.u. 3-panel (THC/COC/OPI).  25 Devices/box"	6	123.75	"e2432"	"Dade Behring Inc."	"3090 Premiere Parkway, Suite 600"	"Duluth"	"GA"	"30097"	"lorraine_p._marston@dadebehring.com"	"95206"	"Alcohol and Drug Prevention"	"BX"	"box"	""	""
"DO36706"	"Dillwyn Correctional Center"	"09/25/2002"	"SPONGES,FINE,SIZE 3  144 P/CTN"	2	119.515	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"48588"	"Squeegees, Sponges, and Scrubbing Pads (For Manual Hard Surface Cleaning)"	"CT"	"carton"	"930150"	""
"DO36698"	"Department of Blind and Vision Impaired"	"09/25/2002"	"Magnistitch around the arm mount #ahmm"	3	2.45	"e1499"	"MAXIAIDS"	"PO Box 3413"	"Farmingdale"	"NY"	"11735"	"BarryG@seemorevision.com"	"62578"	"Magnifiers (For Office Use See Class 605)"	"EA"	"each"	""	""
"DO13613"	"Department of Game and Inland Fisheries"	"04/05/2002"	"Game Warden badge, color-mossy gray w/black, to be embroidered on shirts provided by DGIF"	0	2.9	"e1602"	"PROWEAR ENTERPRISES, INC"	"13136 BLANTON ROAD"	"ASHLAND"	"VA"	"23005"	"prowear@earthlink.net"	"49071"	"Nuclear Safety Equipment and Supplies: Dosimeters, Film Badges, Lead Shielding, Radiation Monitors, Survey Meters (For Warning Tape See Class 832)"	"EA"	"each"	""	""
"DO36706"	"Dillwyn Correctional Center"	"09/25/2002"	"SOAP UNWR LISA       200/3. 0Z"	30	23.20395	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"48586"	"Soap, Hand: Bar, Liquid, and Powdered"	"CS"	"case"	"930042"	""
"DO36698"	"Department of Blind and Vision Impaired"	"09/25/2002"	"Lamp, Gooseneck Table"	25	5.75	"e1499"	"MAXIAIDS"	"PO Box 3413"	"Farmingdale"	"NY"	"11735"	"BarryG@seemorevision.com"	"62578"	"Magnifiers (For Office Use See Class 605)"	"EA"	"each"	""	""
