FNDDTL_FUND_DETAIL_KEY,FNDDTL_FUND_DETAIL_CODE,FNDDTL_FUND_DETAIL_NAME,FND_FUND_CODE,FND_FUND_NAME
1,0100,GENERAL,01,GENERAL
2,0100,GENERAL,01,GENERAL
3,0000,UNCLASSIFIED,00,UNCLASSIFIED
4,0000,UNCLASSIFIED,00,UNCLASSIFIED
5,0000,UNCLASSIFIED,00,UNCLASSIFIED
6,0000,UNCLASSIFIED,00,UNCLASSIFIED
7,0100,GENERAL,01,GENERAL
8,0100,GENERAL,01,GENERAL
9,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
10,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
11,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
12,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
13,0500,ENTERPRISE,05,ENTERPRISE
14,0500,ENTERPRISE,05,ENTERPRISE
15,0000,UNCLASSIFIED,00,UNCLASSIFIED
16,0000,UNCLASSIFIED,00,UNCLASSIFIED
17,0000,UNCLASSIFIED,00,UNCLASSIFIED
18,0000,UNCLASSIFIED,00,UNCLASSIFIED
19,0000,UNCLASSIFIED,00,UNCLASSIFIED
20,0000,UNCLASSIFIED,00,UNCLASSIFIED
21,0000,UNCLASSIFIED,00,UNCLASSIFIED
22,0000,UNCLASSIFIED,00,UNCLASSIFIED
23,0000,UNCLASSIFIED,00,UNCLASSIFIED
24,0000,UNCLASSIFIED,00,UNCLASSIFIED
25,0000,UNCLASSIFIED,00,UNCLASSIFIED
26,0000,UNCLASSIFIED,00,UNCLASSIFIED
27,0000,UNCLASSIFIED,00,UNCLASSIFIED
28,0000,UNCLASSIFIED,00,UNCLASSIFIED
29,0000,UNCLASSIFIED,00,UNCLASSIFIED
30,0000,UNCLASSIFIED,00,UNCLASSIFIED
31,0000,UNCLASSIFIED,00,UNCLASSIFIED
32,0000,UNCLASSIFIED,00,UNCLASSIFIED
33,0000,UNCLASSIFIED,00,UNCLASSIFIED
34,0000,UNCLASSIFIED,00,UNCLASSIFIED
35,0000,UNCLASSIFIED,00,UNCLASSIFIED
36,0000,UNCLASSIFIED,00,UNCLASSIFIED
37,0000,UNCLASSIFIED,00,UNCLASSIFIED
38,0000,UNCLASSIFIED,00,UNCLASSIFIED
39,0000,UNCLASSIFIED,00,UNCLASSIFIED
40,0000,UNCLASSIFIED,00,UNCLASSIFIED
41,0100,GENERAL,01,GENERAL
42,0100,GENERAL,01,GENERAL
43,0100,GENERAL,01,GENERAL
44,0100,GENERAL,01,GENERAL
45,0100,GENERAL,01,GENERAL
46,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
47,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
48,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
49,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
50,0000,UNCLASSIFIED,00,UNCLASSIFIED
51,0000,UNCLASSIFIED,00,UNCLASSIFIED
52,0000,UNCLASSIFIED,00,UNCLASSIFIED
53,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
54,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
55,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
56,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
57,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
58,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
59,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
60,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
61,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
62,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
63,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
64,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
65,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
66,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
67,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
68,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
69,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
70,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
71,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
72,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
73,0000,UNCLASSIFIED,00,UNCLASSIFIED
74,0000,UNCLASSIFIED,00,UNCLASSIFIED
75,0000,UNCLASSIFIED,00,UNCLASSIFIED
76,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
77,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
78,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
79,0100,GENERAL,01,GENERAL
80,0100,GENERAL,01,GENERAL
81,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
82,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
83,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
84,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
85,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
86,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
87,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
88,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
89,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
90,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
91,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
92,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
93,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
94,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
95,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
96,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
97,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
98,0200,SPECIAL REVENUE,02,SPECIAL REVENUE
99,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
100,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
101,0000,UNCLASSIFIED,00,UNCLASSIFIED
102,0000,UNCLASSIFIED,00,UNCLASSIFIED
103,0000,UNCLASSIFIED,00,UNCLASSIFIED
104,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
105,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
106,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
107,0000,UNCLASSIFIED,00,UNCLASSIFIED
108,0000,UNCLASSIFIED,00,UNCLASSIFIED
109,0000,UNCLASSIFIED,00,UNCLASSIFIED
110,0100,GENERAL,01,GENERAL
111,0100,GENERAL,01,GENERAL
112,0100,GENERAL,01,GENERAL
113,0000,UNCLASSIFIED,00,UNCLASSIFIED
114,0000,UNCLASSIFIED,00,UNCLASSIFIED
115,0000,UNCLASSIFIED,00,UNCLASSIFIED
116,0400,HIGHWAY MAINTENANCE AND OPERATING,04,HIGHWAY MAINTENANCE AND CONSTRUCTION
