OBJ_OBJECT_KEY,2-DIGIT OBJECT CODE,2-DIGIT OBJECT NAME,4-DIGIT OBJECT CODE,4-DIGIT OBJECT NAME
1,11,PERSONAL SERVICES,1189,UNALLOT PERS SVCS 2% RED
2,11,PERSONAL SERVICES,1191,UNDISTRIBUTED AMENDED BUDGET AMTS PERSONAL SRVS
3,22,EQUIPMENT,2211,DESKTOP CLIENT COMPUTERS(MICROCOMPUTERS)
4,22,EQUIPMENT,2212,MOBILE CLIENT COMPUTERS(MICROCOMPUTERS)
5,11,PERSONAL SERVICES,1110,EMPLOYEE BENEFITS
6,11,PERSONAL SERVICES,1120,SALARIES
7,13,SUPPLIES AND MATERIALS,1376,LAW ENFORCEMENT SUPPLIES
8,13,SUPPLIES AND MATERIALS,1377,PHOTOGRAPHIC SUPPLIES
9,11,PERSONAL SERVICES,1130,SPECIAL PAYMENTS
10,11,PERSONAL SERVICES,1140,WAGES
11,11,PERSONAL SERVICES,1150,DISABILITY BENEFITS
12,11,PERSONAL SERVICES,1160,TERMINATION PERSONAL SERVICE COSTS
13,11,PERSONAL SERVICES,1170,WTA-WORKFORCE TRANSITION ACT TERMINATION PERSONAL SERVICE COSTS
14,12,CONTRACTUAL SERVICES,1200,CONTRACTUAL SERVICES
15,12,CONTRACTUAL SERVICES,1210,COMMUNICATION SERVICES
16,12,CONTRACTUAL SERVICES,1220,EMPLOYEE DEVELOPMENT SERVICES
17,12,CONTRACTUAL SERVICES,1230,HEALTH SERVICES
18,12,CONTRACTUAL SERVICES,1240,MANAGEMT AND INFORMATIONAL SERVICES
19,12,CONTRACTUAL SERVICES,1250,REPAIR AND MAINTENANCE SERVICES
20,12,CONTRACTUAL SERVICES,1260,SUPPORT SERVICES
21,12,CONTRACTUAL SERVICES,1270,TECHNICAL SERVICES
22,12,CONTRACTUAL SERVICES,1280,TRANSPORTATION SERVICES
23,13,SUPPLIES AND MATERIALS,1300,SUPPLIES AND MATERIALS
24,13,SUPPLIES AND MATERIALS,1310,ADMINISTRATIVE SUPPLIES
25,13,SUPPLIES AND MATERIALS,1320,ENERGY SUPPLIES
26,13,SUPPLIES AND MATERIALS,1330,MANUFACTURING AND MERCHANDISING SUPPLIES
27,13,SUPPLIES AND MATERIALS,1378,RECREATIONAL SUPPLIES
28,13,SUPPLIES AND MATERIALS,1379,HIGHWAY EMERGENCY OPERATIONS MATERIALS
29,13,SUPPLIES AND MATERIALS,1391,UNDISTRIBUTED SUPPLIES & MATERIALS RECOVERIES
30,13,SUPPLIES AND MATERIALS,1340,MEDICAL AND LABORATORY SUPPLIES
31,13,SUPPLIES AND MATERIALS,1350,REPAIR AND MAINTENANCE SUPPLIES
32,13,SUPPLIES AND MATERIALS,1360,RESIDENTAL SUPPLIES
33,13,SUPPLIES AND MATERIALS,1395,UNDISTRIBUTED SUPPLIES/MATERIALS
34,13,SUPPLIES AND MATERIALS,1396,INDIRECT COST RCVRY AUX PGM SUPPLIES & MATERIALS
35,13,SUPPLIES AND MATERIALS,1397,LATE PAYMENT PENALTIES FOR SUPPLIES & MATERIALS
36,13,SUPPLIES AND MATERIALS,1370,SPECIFIC USE SUPPLIES
37,14,TRANSFER PAYMENTS,1400,TRANSFER PAYMENTS
38,14,TRANSFER PAYMENTS,1410,"AWARDS, CONTRIBUTIONS, AND CLAIMS"
39,13,SUPPLIES AND MATERIALS,1398,INTER-AGENCY RECOVERIES FOR SUPPLIES & MATERIALS
40,13,SUPPLIES AND MATERIALS,1399,INTRA-AGENCY RECOVERIES FOR SUPPLIES & MATERIALS
41,22,EQUIPMENT,2214,MAINFRAME COMPUTERS AND COMPONENTS
42,22,EQUIPMENT,2215,NETWORK SERVERS
43,22,EQUIPMENT,2216,NETWORK COMPONENTS
44,11,PERSONAL SERVICES,1192,TURNOVER/VACANCY FACULTY
45,11,PERSONAL SERVICES,1193,TURNOVER/VACANCY BENEFITS
