SPRG_SUB_PROGRAM_KEY,PFCN_FUNCTION_CODE,PFCN_FUNCTION_NAME,PRG_PROGRAM_CODE,PRG_PROGRAM_NAME,SPRG_SUB_PROGRAM_CODE,,SPRG_SUB_PROGRAM_NAME
1977,7,GENERAL GOVERNMENT,746,PERSONAL PROPERTY TAX RELIEF PROGRAM,74600,,HIGHER EDUCATION - LOCAL FUNDS
1978,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51911,,TWO YEAR COLLEGE TRANSFER GRANT
1979,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51913,,ENTERPRISE DEVELOPMENT SERVICES
1980,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84919,,UNDISTRIBUTED SUPPORT FOR DESIGNATED STATE AGENCY ACTIVITIES
1981,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71919,,TECHNOLOGY SECURITY OVERSIGHT SERVICES
1982,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71920,,STATE SUPPORT FOR THE ARRA
1983,5,RESOURCE AND ECONOMIC DEVELOPMENT,503,LAND MANAGEMENT,50306,,HIGHER EDUCATION REVERSION CLEARING ACCOUNT
1984,5,RESOURCE AND ECONOMIC DEVELOPMENT,503,LAND MANAGEMENT,50307,,HISTORIC EVENTS MANAGEMENT
1987,1,EDUCATION,110,FIN ASSISTANCE FOR EDUCATIONAL AND GENERAL SVCS,11011,,CHARITABLE GAMING REGULATION AND ENFORCEMENT
1988,1,EDUCATION,111,"HIGHER ED ACAD, FISCAL AND FACILITY PLAN AND COORD",11101,,INTERSTATE HIGHWAY SYSTEM INFRASTRUCTURE MAINTENCE
1989,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64919,,PRIMARY HIGHWAY SYSTEM INFRASTRUCTURE MAINTENANCE
1990,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64920,,SECONDARY ROADWAY SYSTEM INFRASTRUCTURE MAINTENANC
1991,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84920,,HIGHWAY SYSTEM SERVICES - OPERATIONS AND PROGRAMS
1992,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84921,,GEOGRAPHIC INFORMATION ACCESS SERVICES
1993,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84922,,FINANCIAL ASSISTANCE FOR EMERGENCY COMMUNICATIONS SYSTEMS
1994,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84923,,EMERGENCY COMMUNICATION SYSTEMS DEVELOPMENT SERVICES
1995,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84924,,FIN. ASST. TO LOCALITIES FOR ENHANCED EMERGENCY COMMUNICATIONS
1996,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84925,,FIN ASST TO SERVICE PROVIDERS FOR ENH EMERGENCY COMM SERVICES
1997,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84926,,INTEREST EARNED ON EDUCTNL AND GENERAL PROGRAMS REV
1998,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84927,,SUPPLEMENT TO EMPLOYEE COMPENSATION
1999,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84928,,DIST OF SALES TAX ON FUEL IN CERTAIN TRANS DIST
2000,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84999,,COMPUTER OPERATIONS SECURITY SERVICES
2001,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71921,,PROBATION AND PAROLE SERVICES
2002,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71922,,DAY REPORTING CENTERS
2003,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71923,,COMMUNITY RESIDENTIAL PROGRAMS
2004,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64921,,ADMINISTRATIVE SERVICES
2005,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64922,,GENERAL MGMT AND DIRECTION
2006,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64923,,ACCOUNTING AND BUDGETING SERVICES
2007,5,RESOURCE AND ECONOMIC DEVELOPMENT,503,LAND MANAGEMENT,50309,,HUMAN RESOURCES SERVICES
2008,5,RESOURCE AND ECONOMIC DEVELOPMENT,503,LAND MANAGEMENT,50311,,PROCUREMENT AND CONTRACTING SERVICES
2009,5,RESOURCE AND ECONOMIC DEVELOPMENT,503,LAND MANAGEMENT,50312,,AUDIT SERVICES
2010,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71924,,EMPLOYEE FLEXIBLE BENEFITS SERVICES
2011,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71925,,ENTERPRISE DEVELOPMENT SERVICES
2012,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71926,,PROCUREMENT AND CONTRACTING SERVICES
2013,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64924,,WEB DEVELOPMENT AND SUPPORT SERVICES
2014,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64925,,EDUCATIONAL AND GENERAL PROGRAMS
2015,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64926,,STATE EDUCATION ASSISTANCE PROGRAMS
2016,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71927,,FEDERAL EDUCATION ASSISTANCE PROGRAMS
2017,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71928,,INSTRUCTIONAL SERVICES
2018,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71929,,SPECIAL EDUCATION AND STUDENT SERVICES
2019,5,RESOURCE AND ECONOMIC DEVELOPMENT,503,LAND MANAGEMENT,50313,,PUPIL ASSESSMENT SERVICES
2021,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71999,,SCHOOL AND DIVISION ASSISTANCE
2023,7,GENERAL GOVERNMENT,721,DEFENSE PREPAREDNESS,72102,,TECHNOLOGY ASSISTANCE SERVICES
2024,5,RESOURCE AND ECONOMIC DEVELOPMENT,503,LAND MANAGEMENT,50316,,AT RISK YOUTH RESIDENTIAL PROGRAM
2026,5,RESOURCE AND ECONOMIC DEVELOPMENT,503,LAND MANAGEMENT,50319,,RESIDENTIAL SUPPORT
2028,7,GENERAL GOVERNMENT,721,DEFENSE PREPAREDNESS,72104,,FINANCIAL ASSISTANCE FOR SHERIFFS OFFICES AND REGIONAL JAILS
2029,7,GENERAL GOVERNMENT,721,DEFENSE PREPAREDNESS,72199,,LAW ENFORCEMENT SCIENTIFIC SUPPORT SERVICES
2030,7,GENERAL GOVERNMENT,722,DISASTER PLANNING AND OPERATIONS,72201,,LAW ENFORCEMENT AND HIGHWAY SAFETY SERVICES
2031,7,GENERAL GOVERNMENT,722,DISASTER PLANNING AND OPERATIONS,72202,,PROBATION AND PAROLE DETERMINATION
2034,5,RESOURCE AND ECONOMIC DEVELOPMENT,503,LAND MANAGEMENT,50321,,OPERATION OF STATE RESIDENTIAL COMMUNITY CORRECTIONAL FACILITIES
2035,5,RESOURCE AND ECONOMIC DEVELOPMENT,503,LAND MANAGEMENT,50399,,OPERATION OF SECURE CORRECTIONAL FACILITIES
2036,7,GENERAL GOVERNMENT,722,DISASTER PLANNING AND OPERATIONS,72204,,ADMINISTRATIVE AND SUPPORT SERVICES
2038,7,GENERAL GOVERNMENT,722,DISASTER PLANNING AND OPERATIONS,72206,,PHARMACY SERVICES
2039,5,RESOURCE AND ECONOMIC DEVELOPMENT,504,LEISURE AND RECREATION SERVICES,50401,,VETERANS BENEFIT SERVICES
2041,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64927,,ADULT PROGRAMS AND SERVICES
2042,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64928,,CHILD WELFARE SERVICES
2043,6,TRANSPORTATION,649,ADMINISTRATIVE AND SUPPORT SERVICES,64999,,WORKFORCE SYSTEMS SERVICES
2044,6,TRANSPORTATION,650,AIR TRANSPORTATION REGULATION AND SAFETY,65001,,FINANCIAL ASSISTANCE FOR SUPPLEMENTAL ASSISTANCE SERVICES
2045,6,TRANSPORTATION,650,AIR TRANSPORTATION REGULATION AND SAFETY,65002,,FINANCIAL ASSISTANCE TO COMMUNITY HUMAN SERVICES ORGANIZATIONS
2046,6,TRANSPORTATION,650,AIR TRANSPORTATION REGULATION AND SAFETY,65099,,REGIONAL OFFICE SUPPORT AND ADMINISTRATION
2047,6,TRANSPORTATION,651,AIR TRANSPORTATION SYSTEM MAINTENANCE AND OPER,65101,,ADMINISTRATIVE AND SUPPORT SERVICES
2048,6,TRANSPORTATION,651,AIR TRANSPORTATION SYSTEM MAINTENANCE AND OPER,65102,,DRINKING WATER IMPROVEMENT
2049,6,TRANSPORTATION,651,AIR TRANSPORTATION SYSTEM MAINTENANCE AND OPER,65103,,LAND PROTECTION
2050,7,GENERAL GOVERNMENT,722,DISASTER PLANNING AND OPERATIONS,72207,,AGRICULTURE AND FOOD HOMELAND SECURITY
2051,7,GENERAL GOVERNMENT,722,DISASTER PLANNING AND OPERATIONS,72208,,ENVIRONMENTAL HEALTH HAZARDS CONTROL
2052,7,GENERAL GOVERNMENT,722,DISASTER PLANNING AND OPERATIONS,72209,,TEACHER LICENSURE AND EDUCATION
