SRC_SOURCE_KEY,SRCCLS_SOURCE_CLASS_CODE,SRCCLS_SOURCE_CLASS_NAME,SRC_SOURCE_CODE,,SRC_SOURCE_NAME
309,84,FEDERAL GRANTS AND CONTRACTS,84164,,EISENHOWER MATHEMATICS & SCIENCE EDUC-STATE GRANTS
466,84,FEDERAL GRANTS AND CONTRACTS,84184,,SAFE & DRUG-FREE SCHOOLS/COMMUNITIES-NATIONAL PGM
505,84,FEDERAL GRANTS AND CONTRACTS,84198,,NATIONAL WORKPLACE LITERACY PARTNERSHIPS
584,84,FEDERAL GRANTS AND CONTRACTS,84234,,PROJECTS WITH INDUSTRY
595,84,FEDERAL GRANTS AND CONTRACTS,84276,,GOALS 2000-STATE/LOCAL ED SYSTEMIC IMPROVEMENT
685,84,FEDERAL GRANTS AND CONTRACTS,84314,,EVEN START-STATEWIDE FAMILY LITERACY PROGRAM
724,84,FEDERAL GRANTS AND CONTRACTS,84330,,ADVANCED PLACEMENT INCENTIVE PROGRAM
781,84,FEDERAL GRANTS AND CONTRACTS,84339,,LEARNING ANYTIME ANYWHERE PARTNERSHIPS
835,02,RIGHTS AND PRIVILEGES,02303,,DOMESTIC & FOREIGN CORP REGISTRATION FEES
917,02,RIGHTS AND PRIVILEGES,02345,,LOCAL ORDINANCE ENVIRONMENT FEE
971,02,RIGHTS AND PRIVILEGES,02353,,"ARTICLES OF ORGANIZATION, DOMESTIC LIMITED LIAB CO"
1044,02,RIGHTS AND PRIVILEGES,02361,,GENERAL PARTNERSHIPS - CHANGES
1052,02,RIGHTS AND PRIVILEGES,02405,,ACCOUNTANCY REGULATORY FEES
169,02,RIGHTS AND PRIVILEGES,02705,,HOSPITAL FILING FEES
229,02,RIGHTS AND PRIVILEGES,02713,,MANAGED CARE HEALTH INS PLAN APPEALS FILING FE
326,02,RIGHTS AND PRIVILEGES,02721,,WASTE VESSEL RECEIVING FACILITY PERMIT FEE
362,02,RIGHTS AND PRIVILEGES,02797,,HMO LATE FILING FEE - HEDIS
421,03,SALES OF PROPERTY AND COMMODITIES,03006,,"SALES FROM STATE SURPLUS TO CITIES, CO, & TOWNS"
438,03,SALES OF PROPERTY AND COMMODITIES,03018,,SALES THE VIRGINIA SHOP
514,03,SALES OF PROPERTY AND COMMODITIES,03027,,SALES FROM CENTRAL WAREHOUSE TO LOCAL AGENCIES
627,03,SALES OF PROPERTY AND COMMODITIES,03302,,VPEP - APPLICATION FEE
663,03,SALES OF PROPERTY AND COMMODITIES,03322,,VPEP - CHANGE IN PAYMENT PLAN OPTION FEE
677,03,SALES OF PROPERTY AND COMMODITIES,03336,,VEST - CHANGE OF CONTRIBUTOR FEE
741,04,"DONATIONS, RECEIPTS AND TRANSFERS",04003,,VA FOUNDATION F/T HUMANITIES & PUBLIC POLICY
752,04,"DONATIONS, RECEIPTS AND TRANSFERS",04203,,"FEES & ALLOWANCES SHERIFFS, SGTS & DEPUTIES"
794,04,"DONATIONS, RECEIPTS AND TRANSFERS",04301,,ABC PROFITS
884,02,RIGHTS AND PRIVILEGES,02524,,FIREARMS DEALER FEES
959,02,RIGHTS AND PRIVILEGES,02533,,MERCHANDISE RESALE REVENUES
1242,02,RIGHTS AND PRIVILEGES,02541,,STATE PARK FISHERMAN PACKAGE FEE
1250,02,RIGHTS AND PRIVILEGES,02603,,ENVIRONMENTAL LEAD INVESTIGATIONS-MEDICAID
1363,02,RIGHTS AND PRIVILEGES,02611,,CENTRAL CRIMINAL RECORDS INQUIRY FEE
978,06,INSTITUTIONAL REVENUE,06453,,MH & MR CHRONIC (MEDICAID)
1131,06,INSTITUTIONAL REVENUE,06523,,"CORRECTIONS, SALE OF FARM & DAIRY PRODUCTS"
1324,06,INSTITUTIONAL REVENUE,06541,,CORRECTIONS-SUPERVISION FEE-S-53-19.40
1332,07,"INTEREST, DIVIDEND AND RENTS",07101,,INTEREST ON STATE MONEY
1340,07,"INTEREST, DIVIDEND AND RENTS",07114,,INTEREST ON VRS INVESTMENTS
1448,07,"INTEREST, DIVIDEND AND RENTS",07135,,VPEP - REALIZED GAIN ON INVESTMENTS
1456,07,"INTEREST, DIVIDEND AND RENTS",07307,,CAR POOL REIMBURSEMENT
1544,07,"INTEREST, DIVIDEND AND RENTS",07401,,CAPITAL LEASE REVENUES - LAND
1552,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08106,,TECHNOLOGY TRUST FUND FEE
1066,97,FEDERAL GRANTS AND CONTRACTS,97001,,ONE-TIME PROJECTS
1074,97,FEDERAL GRANTS AND CONTRACTS,97029,,FLOOD MITAGATION ASSISTANCE
1182,97,FEDERAL GRANTS AND CONTRACTS,97051,,STATE/LOCAL ALL HAZARDS EMERGENCY OPERATIONS PLAN
1299,10,FEDERAL GRANTS AND CONTRACTS,10680,,FOREST HEALTH PROTECTION
1516,10,FEDERAL GRANTS AND CONTRACTS,10900,,GREAT PLAINS CONSERVATION
1584,10,FEDERAL GRANTS AND CONTRACTS,10950,,AGRICULTURE STATISTICS REPORTS
1592,11,FEDERAL GRANTS AND CONTRACTS,11300,,GRANTS FOR PUBLIC WORKS AND ECONOMIC DEVELOPMENT
1600,11,FEDERAL GRANTS AND CONTRACTS,11420,,COASTAL ZONE MANAGEMENT ESTUARINE RESEARCH RESERVE
1688,11,FEDERAL GRANTS AND CONTRACTS,11441,,REGIONAL FISHERY MANAGEMENT COUNCILS
1696,11,FEDERAL GRANTS AND CONTRACTS,11463,,HABITAT CONSERVATION
1724,11,FEDERAL GRANTS AND CONTRACTS,11609,,MEASUREMENT & ENGINEERING RESEARCH & STANDARDS
1732,12,FEDERAL GRANTS AND CONTRACTS,12106,,FLOOD CONTROL PROJECTS
1740,12,FEDERAL GRANTS AND CONTRACTS,12420,,MILITARY MEDICAL RESEARCH AND DEVELOPMENT
1754,12,FEDERAL GRANTS AND CONTRACTS,12902,,INFORMATION SECURITY GRANT PROGRAM
1762,14,FEDERAL GRANTS AND CONTRACTS,14227,,ASSISTANCE PROGRAM
1770,14,FEDERAL GRANTS AND CONTRACTS,14246,,CDBG/ECONOMIC DEVELOPMENT INITIATIVE
1030,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08133,,BLOOD TEST FEE
1038,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08142,,CIVIL PENALTIES IMPOSED BY VA WORKERS' COMP COMM
1146,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08150,,CREDIT CARD FEES
1154,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08192,,MULTIPLE DUI OFFENDERS FEE
1231,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08304,,IMPOSED BY STATE LIBRARIAN
1239,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08312,,PENALTIES FOR PARKING VIOLATIONS IN CAPITOL SQ
1307,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08320,,PENALTIES FOR WETLANDS VIOLATIONS
1315,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08328,,APPOINTMENT PENALTY
1403,09,OTHER REVENUE,09004,,REGISTRATION FEES FOR WORKSHOPS AND CLASSES
1411,09,OTHER REVENUE,09016,,PPEA PROPOSAL REVIEW FEE
1419,09,OTHER REVENUE,09030,,COMMISSION ON LOTTERY TICKET SALES
953,81,FEDERAL GRANTS AND CONTRACTS,81089,,FOSSIL ENERGY RESEARCH AND DEVELOPMENT
1003,83,FEDERAL GRANTS AND CONTRACTS,83000,,OTHER ASSIST - FEDERAL EMERGENCY MANAGEMENT AGY
1014,83,FEDERAL GRANTS AND CONTRACTS,83526,,NATIONAL URBAN SEARCH AND RESCUE PROGRAM
1133,83,FEDERAL GRANTS AND CONTRACTS,83543,,INDIVIDUAL AND FAMILY GRANTS
1224,83,FEDERAL GRANTS AND CONTRACTS,83560,,ASSISTANCE TO INDIVIDUALS & HOUSEHOLDS-OTHER NEEDS
1258,14,FEDERAL GRANTS AND CONTRACTS,14854,,PUBLIC AND INDIAN HOUSING DRUG ELIMINATION PROGRAM
1346,15,FEDERAL GRANTS AND CONTRACTS,15252,,ABANDONED MINE LAND RECLAMATION PROGRAM
1354,15,FEDERAL GRANTS AND CONTRACTS,15615,,COOPERATIVE ENDANGERED SPECIES CONSERVATION FUND
11,00,UNDEFINED,00000,,UNDEFINED
96,01,TAXES,01009,,SCC-RAILROAD SPECIAL TAX
129,01,TAXES,01019,,GROSS PREMIUMS OF INSURANCE COMPANIES
202,01,TAXES,01039,,RECORDING DEEDS & CONTRACTS
213,01,TAXES,01047,,OIL COMPANY EXCISE TAX
294,01,TAXES,01055,,BEER EXCISE TAX
347,01,TAXES,01064,,SWEET POTATO TAX
393,01,TAXES,01072,,COTTON TAX ASSESSMENT
519,01,TAXES,01083,,GENERAL STATE SALES AND USE TAX
597,01,TAXES,01091,,PAYMENTS BY TVA IN LIEU OF TAXES
679,01,TAXES,01101,,INDIVIDUAL FIDUCIARY INCOME TAX - 2001
759,01,TAXES,01113,,ESTIMATED INCOME TAX - 2003
825,01,TAXES,01202,,MOTOR FUELS TAXES-UNDISTRIBUTED
871,02,RIGHTS AND PRIVILEGES,02107,,REGISTRATION LAWN/TURF SEED MIXTURE
937,02,RIGHTS AND PRIVILEGES,02115,,AUTOMOBILE CLUB AGENT LICENSES
1101,09,OTHER REVENUE,09051,,TOBACCO MASTER SETTLEMENT AGREEMENT REVENUE
1109,09,OTHER REVENUE,09075,,RECOVERY OF STATEWIDE GF INDIRECT COST MATCH
1117,09,OTHER REVENUE,09999,,PROCEEDS FROM SALE OF SURPLUS
1205,10,FEDERAL GRANTS AND CONTRACTS,10072,,WETLANDS RESERVE PROGRAM
1213,10,FEDERAL GRANTS AND CONTRACTS,10169,,ADVANCES AIR SECURITY CONTRACT
1421,10,FEDERAL GRANTS AND CONTRACTS,10178,,FORT PICKETT SECURITY
1429,10,FEDERAL GRANTS AND CONTRACTS,10186,,FORT PICKETT TELECOMMUNICATIONS
7,84,FEDERAL GRANTS AND CONTRACTS,84344,,TRIO DISSEMINATION PARTNERSHIP
47,84,FEDERAL GRANTS AND CONTRACTS,84366,,MATH AND SCIENCE PARTNERSHIPS
58,93,FEDERAL GRANTS AND CONTRACTS,93000,,OTHER ASSIST - US DEPT OF HEALTH & HUMAN SERVICES
155,93,FEDERAL GRANTS AND CONTRACTS,93046,,IN HOME SERVICES FOR FRAIL OLDER INDIVIDUALS
191,93,FEDERAL GRANTS AND CONTRACTS,93104,,COMMUNITY MENTAL HEALTH SERVICES-CHILDREN W/SED
230,93,FEDERAL GRANTS AND CONTRACTS,93117,,GRANTS FOR PREVENTIVE MEDICINE
269,93,FEDERAL GRANTS AND CONTRACTS,93129,,TECHNICAL & NON-FINANCIAL ASSIST TO HEALTH CTR
370,93,FEDERAL GRANTS AND CONTRACTS,93145,,AIDS EDUCATION & TRAINING CENTERS
412,93,FEDERAL GRANTS AND CONTRACTS,93172,,HUMAN GENOME RESEARCH
457,93,FEDERAL GRANTS AND CONTRACTS,93213,,RESEARCH/TRAINING COMPLEMENTARY/ALT MEDICINE
561,93,FEDERAL GRANTS AND CONTRACTS,93241,,STATE RURAL HOSPITAL FLEXIBILITY PROGRAM
578,93,FEDERAL GRANTS AND CONTRACTS,93256,,ST PLANNING-HEALTH CARE ACCESS FOR UNINSURED
652,93,FEDERAL GRANTS AND CONTRACTS,93274,,FACULTY DEVELOPMENT IN ALCOHOL AND DRUG ABUSES
768,93,FEDERAL GRANTS AND CONTRACTS,93298,,NURSE PRACTITIONER/MIDWIFE EDUCATION PROGRAMS
808,93,FEDERAL GRANTS AND CONTRACTS,93371,,BIOMEDICAL TECHNOLOGY
